"nameProject","testCase","tloc","tmcCabe","assertionDensity","assertionRoulette","mysteryGuest","eagerTest","sensitiveEquality","resourceOptimism","conditionalTestLogic","fireAndForget","testRunWar","loc","lcom2","lcom5","cbo","wmc","rfc","mpc","halsteadVocabulary","halsteadLength","halsteadVolume","classDataShouldBePrivate","complexClass","functionalDecomposition","godClass","spaghettiCode","isFlaky"
"alluxio","tachyon.MasterClientTest.before",6,3,0,0,0,0,0,0,2,0,0,780,0,3,32,228,242,194,5059,381,3249.52008754523,0,228,0,0,117,0
"alluxio","tachyon.MasterClientTest.after",4,2,0,0,0,0,0,0,0,0,0,780,0,3,32,228,242,194,5059,381,3249.52008754523,0,228,0,0,117,0
"alluxio","tachyon.MasterClientTest.openCloseTest",13,2,0.846153846153846,4,4,6,0,0,0,0,0,780,0,3,32,228,242,194,5059,381,3249.52008754523,0,228,0,0,117,1
"alluxio","tachyon.WorkerServiceHandlerTest.before",9,3,0,0,0,0,0,0,2,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,0
"alluxio","tachyon.WorkerServiceHandlerTest.after",5,2,0,0,0,0,0,0,0,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,0
"alluxio","tachyon.WorkerServiceHandlerTest.overCapacityRequestSpaceTest",4,2,0.75,2,0,1,0,0,0,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,1
"alluxio","tachyon.WorkerServiceHandlerTest.totalOverCapacityRequestSpaceTest",6,2,1.16666666666667,4,0,1,0,0,0,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,1
"alluxio","tachyon.WorkerServiceHandlerTest.returnSpaceTest",8,3,0.875,4,0,2,0,0,0,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,1
"alluxio","tachyon.WorkerServiceHandlerTest.overReturnSpaceTest",6,3,0.833333333333333,3,0,2,0,0,0,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,1
"alluxio","tachyon.WorkerServiceHandlerTest.evictionTest",21,2,0.80952380952381,9,14,0,0,0,0,0,0,90,0,0,8,32,26,13,297,80,455.498571104216,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.before",6,3,0,0,0,0,0,0,2,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.after",7,2,0,0,0,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.EmptyImageTest",8,2,0.375,0,1,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.FileTestUtil",9,2,0.777777777777778,0,7,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.FileTest",13,2,0,0,7,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.FolderTest",9,2,0.777777777777778,0,6,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.FolderTest",13,2,0,0,3,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.TableTest",9,2,0.777777777777778,0,6,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.TableTest",13,2,0,0,3,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.ManyFileTestUtil",10,3,0.5,0,4,0,0,0,1,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.ManyFileTest",14,3,0,0,5,0,0,0,1,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.FileFolderUtil",12,3,0.416666666666667,0,4,0,0,0,2,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.FileFolderTest",17,3,0,0,5,0,0,0,2,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.RenameTestUtil",12,3,0.416666666666667,0,3,0,0,0,2,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.RenameTest",19,3,0,0,2,0,0,0,2,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.DeleteTestUtil",12,3,0.416666666666667,0,3,0,0,0,2,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.DeleteTest",23,4,0,0,2,0,0,0,4,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.AddBlockTestUtil",10,2,0.7,0,6,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.AddBlockTest",19,3,0,0,6,0,0,0,1,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.JournalTest.AddCheckpointTestUtil",11,2,1,0,12,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,0
"alluxio","tachyon.JournalTest.AddCheckpointTest",16,2,0,0,10,0,0,0,0,0,0,47,1,2,1,14,10,4,173,68,350.423828425849,0,0,0,0,0,1
"alluxio","tachyon.DataServerTest.before",6,3,0,0,0,0,0,0,2,0,0,214,0,0,12,28,72,64,970,188,1292.93166144152,0,0,0,0,0,0
"alluxio","tachyon.DataServerTest.after",4,2,0,0,0,0,0,0,0,0,0,214,0,0,12,28,72,64,970,188,1292.93166144152,0,0,0,0,0,0
"alluxio","tachyon.DataServerTest.readTest",18,5,0.0555555555555555,1,5,1,0,0,3,0,0,214,0,0,12,28,72,64,970,188,1292.93166144152,0,0,0,0,0,1
"alluxio","tachyon.DataServerTest.readPartialTest1",19,5,0.0526315789473684,1,5,1,0,0,3,0,0,214,0,0,12,28,72,64,970,188,1292.93166144152,0,0,0,0,0,1
"alluxio","tachyon.DataServerTest.readPartialTest2",19,5,0.0526315789473684,1,5,1,0,0,3,0,0,214,0,0,12,28,72,64,970,188,1292.93166144152,0,0,0,0,0,1
"alluxio","tachyon.UserInfoTest.constructorTest",6,2,0.166666666666667,1,0,1,0,0,1,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
"alluxio","tachyon.UserInfoTest.constructorWithExceptionTest",7,2,0.285714285714286,1,0,1,0,0,1,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
"alluxio","tachyon.UserInfoTest.addOwnBytesTest",8,1,0.125,1,0,2,0,0,0,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
"alluxio","tachyon.UserInfoTest.getUserIdTest",6,2,0.166666666666667,1,0,1,0,0,1,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
"alluxio","tachyon.UserInfoTest.timeoutTest",4,1,0.25,1,0,1,0,0,0,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
"alluxio","tachyon.UserInfoTest.toStringTest",6,1,0.166666666666667,0,0,2,1,0,0,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
"alluxio","tachyon.UserInfoTest.generalTest",8,2,0.125,1,0,2,0,0,1,0,0,52,0,2,1,12,14,7,176,70,361.933879652671,0,0,0,0,0,0
